edad,estado_civil,escolaridad,default,saldo,prestatario,ultimo_contacto,ct_contactos,adherencia_inversion
59,divorciado (a),primaria,no,133,no,206,1,no
33,casado (a),secundaria,no,137,si,305,12,no
83,casado (a),primaria,no,425,no,883,1,si
36,divorciado (a),secundaria,no,1594,no,250,3,no
46,casado (a),superior,no,2262,no,44,14,no
29,soltero (a),secundaria,no,113,no,328,2,si
44,casado (a),primaria,no,4758,no,712,6,si
26,soltero (a),secundaria,no,856,si,95,5,no
40,casado (a),secundaria,no,-378,si,541,1,no
46,divorciado (a),secundaria,no,435,no,192,3,no
26,casado (a),superior,no,454,si,28,18,no
39,casado (a),superior,no,562,no,303,2,no
36,soltero (a),superior,no,613,no,86,2,no
39,casado (a),secundaria,no,266,no,102,2,no
38,divorciado (a),secundaria,no,70,no,255,3,si
39,casado (a),secundaria,no,-540,no,29,1,no
35,divorciado (a),secundaria,no,69,no,461,3,no
31,soltero (a),secundaria,no,1588,no,14,1,no
29,soltero (a),superior,no,455,no,403,1,si
46,casado (a),secundaria,no,556,si,646,3,si
45,divorciado (a),primaria,no,3854,no,10,3,no
48,casado (a),secundaria,no,10655,no,5,3,no
47,soltero (a),superior,no,0,no,58,3,no
44,casado (a),superior,no,1058,no,188,3,si
41,divorciado (a),primaria,no,664,si,955,5,si
43,casado (a),secundaria,no,104,no,635,3,si
33,soltero (a),superior,no,621,no,217,1,no
39,casado (a),superior,no,2763,no,526,2,si
59,casado (a),secundaria,no,0,no,812,1,si
41,casado (a),superior,no,6563,no,136,8,no
31,soltero (a),secundaria,no,609,no,1126,1,no
50,casado (a),secundaria,no,1011,no,340,2,no
37,soltero (a),secundaria,no,3665,no,664,3,si
55,divorciado (a),superior,no,1983,no,123,1,no
37,casado (a),superior,no,0,no,115,1,no
40,casado (a),superior,no,-17,si,474,1,si
38,soltero (a),superior,no,25,no,232,2,si
36,casado (a),superior,no,605,no,204,1,no
36,casado (a),secundaria,no,1328,no,82,4,no
44,soltero (a),superior,no,2734,no,897,4,si
60,casado (a),secundaria,no,1025,no,388,8,no
32,casado (a),superior,no,62,no,166,1,no
35,casado (a),superior,no,118,no,358,2,no
32,soltero (a),secundaria,no,493,no,289,2,no
39,casado (a),secundaria,no,406,no,253,5,no
50,casado (a),secundaria,no,60,si,151,8,no
42,soltero (a),secundaria,no,-247,si,519,1,si
45,casado (a),secundaria,no,204,no,224,2,si
54,casado (a),superior,no,876,no,269,3,si
52,casado (a),primaria,no,1141,no,22,5,no
35,soltero (a),primaria,no,1147,si,29,1,no
28,soltero (a),secundaria,no,1633,no,275,1,si
36,soltero (a),superior,no,490,no,207,8,si
59,casado (a),secundaria,no,1,no,159,2,si
35,casado (a),primaria,no,0,no,90,6,no
43,casado (a),secundaria,no,3060,no,253,2,no
55,casado (a),secundaria,no,1011,no,112,2,no
26,soltero (a),secundaria,no,236,si,8,2,no
31,divorciado (a),secundaria,no,202,no,146,1,no
30,soltero (a),secundaria,no,20,no,404,6,no
38,casado (a),secundaria,no,0,no,82,4,no
59,casado (a),superior,no,9676,no,234,2,si
48,soltero (a),superior,no,2330,no,15,1,no
36,soltero (a),secundaria,no,1511,no,270,1,si
26,soltero (a),secundaria,no,668,no,576,3,si
26,soltero (a),primaria,no,-887,no,827,2,si
35,casado (a),secundaria,no,978,no,1370,3,si
43,casado (a),secundaria,no,667,no,228,3,no
35,soltero (a),superior,no,44,no,310,2,no
37,casado (a),primaria,no,37,no,24,2,no
64,casado (a),secundaria,no,1574,no,301,3,si
58,casado (a),secundaria,no,590,si,133,1,no
41,casado (a),secundaria,no,2993,no,24,12,no
49,casado (a),primaria,no,902,no,210,2,no
38,casado (a),superior,no,2812,no,830,1,si
49,divorciado (a),primaria,no,15,no,550,7,no
49,casado (a),primaria,no,-384,no,25,1,no
53,casado (a),secundaria,no,225,no,304,1,no
48,divorciado (a),secundaria,si,20,no,145,3,no
59,casado (a),primaria,no,1727,no,500,4,si
28,casado (a),secundaria,no,8,no,196,1,no
42,divorciado (a),secundaria,no,936,no,931,1,si
60,soltero (a),primaria,no,11262,no,323,1,si
36,casado (a),superior,no,16430,no,197,3,no
51,divorciado (a),secundaria,no,9228,no,655,4,si
42,casado (a),primaria,no,-679,si,159,1,no
36,casado (a),superior,no,9269,si,107,2,no
62,casado (a),superior,no,1859,no,245,3,si
37,casado (a),secundaria,no,427,si,371,3,no
28,soltero (a),secundaria,no,2700,no,337,4,no
27,divorciado (a),secundaria,no,451,no,652,1,si
34,casado (a),secundaria,no,1076,no,152,1,si
42,divorciado (a),superior,no,0,no,131,2,no
69,casado (a),primaria,no,579,no,230,1,no
45,casado (a),superior,no,265,no,14,3,no
46,casado (a),primaria,no,222,no,71,2,no
26,soltero (a),superior,no,294,no,87,1,si
53,soltero (a),secundaria,no,2398,no,317,1,si
40,soltero (a),secundaria,no,1670,no,161,2,no
36,divorciado (a),primaria,no,-308,no,725,1,si
37,casado (a),superior,no,393,no,567,3,si
48,casado (a),primaria,si,-583,no,25,7,no
30,soltero (a),secundaria,no,-522,si,670,2,si
32,soltero (a),secundaria,no,0,no,594,4,si
40,casado (a),secundaria,no,1836,no,750,2,si
52,casado (a),superior,no,3163,no,56,6,no
52,casado (a),primaria,no,1054,no,273,1,no
43,casado (a),secundaria,no,699,si,1258,2,si
27,casado (a),secundaria,no,710,si,653,1,si
32,casado (a),superior,no,2349,no,134,5,no
32,casado (a),superior,no,5878,no,159,2,no
31,soltero (a),secundaria,no,-219,no,66,2,no
45,divorciado (a),primaria,no,-311,no,1030,1,si
19,soltero (a),primaria,no,103,no,104,2,si
25,soltero (a),superior,no,343,no,377,1,si
44,soltero (a),secundaria,no,1679,no,718,1,si
38,casado (a),secundaria,no,6728,no,232,1,si
27,soltero (a),superior,no,5291,no,192,2,si
34,soltero (a),superior,no,4348,no,373,8,no
32,soltero (a),secundaria,no,249,no,258,1,no
56,casado (a),secundaria,no,344,no,221,1,no
37,casado (a),superior,no,3913,no,124,1,si
34,divorciado (a),superior,no,262,no,371,1,no
35,casado (a),superior,no,8,no,93,3,si
41,casado (a),superior,no,326,no,788,1,si
39,casado (a),secundaria,no,0,no,53,1,no
44,divorciado (a),secundaria,no,-329,no,171,1,no
28,soltero (a),secundaria,no,517,si,681,1,si
39,casado (a),superior,no,0,no,46,2,no
56,casado (a),secundaria,no,1044,no,353,2,si
36,casado (a),primaria,no,1925,no,904,2,si
42,casado (a),secundaria,no,130,no,285,1,no
29,soltero (a),secundaria,no,908,no,1663,1,si
30,soltero (a),superior,no,4213,no,142,4,no
33,soltero (a),secundaria,no,2085,no,501,2,si
54,divorciado (a),primaria,no,4382,no,193,4,no
38,casado (a),superior,no,950,no,210,2,no
35,soltero (a),secundaria,no,5731,no,164,2,no
30,casado (a),primaria,no,-518,si,244,6,no
55,divorciado (a),superior,no,9756,no,103,2,si
28,soltero (a),secundaria,no,4745,no,360,1,si
84,divorciado (a),primaria,no,639,no,353,3,si
32,divorciado (a),superior,no,883,no,798,1,si
73,casado (a),primaria,no,279,no,399,3,si
32,casado (a),superior,no,273,si,97,3,no
36,soltero (a),superior,no,553,no,106,2,no
77,divorciado (a),superior,no,4659,no,161,1,si
52,casado (a),secundaria,no,2087,no,267,1,si
40,casado (a),secundaria,no,-396,no,127,1,no
41,casado (a),primaria,no,1172,no,153,1,no
31,casado (a),primaria,no,25,no,169,5,no
58,casado (a),primaria,no,0,no,535,2,no
55,divorciado (a),secundaria,no,61,si,113,3,no
62,divorciado (a),superior,no,0,no,227,2,si
39,casado (a),secundaria,no,4722,no,483,1,no
38,casado (a),secundaria,no,0,si,1473,6,no
56,divorciado (a),primaria,si,1238,no,1558,1,si
41,divorciado (a),secundaria,no,6046,si,300,6,si
34,casado (a),primaria,no,1666,no,30,1,no
42,soltero (a),superior,no,10907,no,74,3,no
35,divorciado (a),secundaria,no,275,si,144,5,no
29,soltero (a),secundaria,no,3672,si,1210,1,no
54,casado (a),secundaria,no,0,no,1366,1,no
41,soltero (a),secundaria,no,1020,no,882,1,si
48,casado (a),secundaria,no,1355,no,134,2,no
32,soltero (a),secundaria,no,473,no,624,5,no
46,casado (a),secundaria,no,271,no,134,4,no
51,casado (a),secundaria,no,1415,no,151,3,no
56,casado (a),secundaria,no,16873,no,223,1,no
35,casado (a),superior,no,1145,no,82,2,no
42,casado (a),superior,no,157,si,650,1,no
46,casado (a),secundaria,no,0,si,239,2,no
31,divorciado (a),primaria,no,459,no,623,1,si
56,divorciado (a),primaria,no,694,no,144,1,si
39,soltero (a),superior,no,426,no,1029,1,si
58,soltero (a),superior,no,331,si,82,3,no
40,soltero (a),secundaria,no,100,no,221,1,si
28,soltero (a),secundaria,no,168,no,347,3,si
44,soltero (a),secundaria,no,5045,no,20,6,no
36,casado (a),superior,no,495,no,213,3,si
42,divorciado (a),secundaria,no,257,no,955,2,si
54,divorciado (a),superior,no,1295,no,179,10,no
53,divorciado (a),secundaria,no,-905,no,213,1,no
41,casado (a),secundaria,no,2125,si,285,3,no
31,soltero (a),secundaria,no,747,no,543,2,si
42,casado (a),secundaria,no,0,no,82,12,no
25,soltero (a),superior,no,1420,no,124,2,no
70,divorciado (a),secundaria,no,6850,no,252,3,no
56,casado (a),secundaria,no,1270,no,80,2,no
25,casado (a),superior,no,10,no,857,4,si
35,divorciado (a),superior,no,0,no,171,1,si
35,soltero (a),superior,no,2988,no,179,1,no
38,casado (a),primaria,no,506,si,122,1,no
59,soltero (a),secundaria,no,351,no,1063,5,si
30,soltero (a),secundaria,si,239,no,412,1,si
53,casado (a),superior,no,15,no,921,2,si
32,soltero (a),superior,no,2536,no,958,6,si
50,casado (a),secundaria,no,669,no,88,1,no
38,soltero (a),superior,no,623,no,297,4,si
34,soltero (a),superior,no,5462,no,430,1,si
26,soltero (a),secundaria,no,1347,no,280,6,si
50,casado (a),primaria,no,341,si,670,4,si
38,casado (a),superior,no,170,no,442,1,si
30,casado (a),secundaria,no,11,no,157,1,no
38,soltero (a),superior,no,0,no,260,3,si
30,soltero (a),superior,no,261,no,233,1,no
34,divorciado (a),secundaria,no,-251,no,641,1,si
39,casado (a),secundaria,no,0,no,502,1,no
36,casado (a),secundaria,no,2357,no,228,2,no
69,soltero (a),superior,no,2144,no,417,1,si
34,soltero (a),secundaria,no,79,si,104,1,no
53,casado (a),superior,no,451,no,125,1,no
27,soltero (a),secundaria,no,468,no,109,1,no
42,soltero (a),secundaria,no,382,no,294,1,no
47,casado (a),secundaria,no,1996,no,761,2,si
51,casado (a),primaria,no,377,no,143,4,no
35,casado (a),secundaria,no,2971,no,429,4,si
39,casado (a),primaria,no,2303,no,775,3,si
57,casado (a),primaria,no,5799,no,97,1,no
59,casado (a),primaria,no,2814,no,81,3,no
34,casado (a),superior,no,69,si,120,3,si
38,soltero (a),superior,no,104,no,606,3,si
29,divorciado (a),secundaria,no,84,no,1101,2,si
54,casado (a),secundaria,no,-315,si,2029,1,si
39,casado (a),superior,no,722,no,141,1,no
38,divorciado (a),secundaria,no,595,no,245,3,no
55,casado (a),primaria,no,2587,no,328,2,si
45,divorciado (a),secundaria,no,1269,no,549,2,no
41,casado (a),superior,no,4824,si,168,7,no
45,casado (a),superior,no,1529,no,160,1,no
52,casado (a),primaria,no,592,no,122,2,no
48,casado (a),primaria,no,7195,no,609,2,si
34,soltero (a),superior,no,2646,no,142,1,si
38,soltero (a),secundaria,no,4366,no,188,2,no
25,casado (a),superior,no,-242,si,600,4,si
40,casado (a),secundaria,no,2,no,197,5,no
52,casado (a),superior,no,2557,no,134,5,si
29,divorciado (a),secundaria,no,330,no,88,2,no
35,divorciado (a),secundaria,no,308,no,77,2,no
40,soltero (a),superior,no,1361,no,1473,1,si
36,soltero (a),superior,no,197,no,260,1,si
43,divorciado (a),secundaria,no,738,no,585,4,no
34,casado (a),secundaria,no,0,no,172,1,no
41,soltero (a),primaria,no,0,no,239,1,no
76,divorciado (a),primaria,no,86,no,192,1,no
30,soltero (a),superior,no,329,no,122,16,no
32,casado (a),secundaria,no,0,no,80,2,no
24,casado (a),secundaria,no,556,no,460,2,si
39,casado (a),secundaria,no,5731,no,175,2,no
33,soltero (a),secundaria,no,697,no,860,2,si
38,soltero (a),secundaria,no,-196,no,60,1,no
59,casado (a),superior,no,593,no,64,2,no
34,casado (a),superior,no,1539,no,441,1,si
47,divorciado (a),superior,no,477,no,973,1,no
44,casado (a),secundaria,no,1071,no,143,3,no
52,casado (a),superior,no,0,no,197,1,no
68,casado (a),secundaria,no,19317,no,249,1,si
51,casado (a),primaria,no,42,no,51,2,no
27,soltero (a),secundaria,no,54,no,543,2,si
47,casado (a),superior,no,0,no,508,1,si
32,soltero (a),superior,no,3616,no,165,2,no
39,divorciado (a),secundaria,no,687,no,869,1,si
33,casado (a),superior,no,595,no,22,2,no
56,casado (a),secundaria,no,345,no,605,1,no
35,casado (a),secundaria,no,2,no,653,3,no
59,casado (a),secundaria,no,163,no,464,1,no
58,casado (a),primaria,no,65,no,162,1,no
36,casado (a),superior,no,2987,no,307,1,si
41,divorciado (a),superior,no,5037,no,252,9,si
34,soltero (a),superior,no,925,no,709,1,si
28,casado (a),secundaria,no,-97,no,79,1,no
56,casado (a),secundaria,no,238,no,808,1,no
35,soltero (a),superior,no,145,no,799,2,si
42,casado (a),secundaria,no,3052,no,32,1,no
58,casado (a),primaria,no,23,no,91,6,no
32,soltero (a),superior,no,474,no,90,3,no
57,casado (a),secundaria,no,2887,no,819,10,si
33,casado (a),superior,no,148,no,717,1,no
55,divorciado (a),secundaria,no,138,no,205,1,no
32,casado (a),primaria,no,415,no,777,4,si
28,soltero (a),superior,no,0,no,294,2,si
55,divorciado (a),secundaria,no,1580,si,1007,1,si
33,soltero (a),secundaria,no,238,si,45,5,no
41,casado (a),secundaria,no,1066,no,109,3,si
48,casado (a),secundaria,no,117,no,635,1,no
61,casado (a),secundaria,no,967,no,180,1,no
49,casado (a),superior,no,443,no,27,6,no
35,divorciado (a),primaria,no,1792,no,630,6,si
36,casado (a),secundaria,no,42,no,102,4,no
60,casado (a),superior,no,4256,no,239,3,si
51,soltero (a),superior,si,-55,no,281,2,no
30,casado (a),superior,no,931,no,1183,1,no
28,soltero (a),secundaria,no,-46,no,199,1,si
27,casado (a),secundaria,si,-584,no,411,2,no
33,soltero (a),secundaria,no,894,no,509,2,no
35,casado (a),secundaria,no,0,no,524,1,si
28,soltero (a),secundaria,no,1532,no,253,1,no
34,soltero (a),superior,no,0,no,191,2,no
27,soltero (a),superior,no,703,no,590,3,si
74,divorciado (a),secundaria,no,4079,no,343,3,si
39,divorciado (a),superior,si,3,no,488,1,si
45,casado (a),primaria,no,-322,no,225,2,no
50,casado (a),secundaria,no,181,no,599,2,no
34,casado (a),superior,no,0,no,262,1,si
56,casado (a),secundaria,no,45,no,1467,1,si
54,casado (a),secundaria,no,1480,no,108,1,no
26,soltero (a),secundaria,no,622,no,1451,2,si
29,soltero (a),superior,no,1026,no,226,1,si
33,casado (a),secundaria,no,661,no,968,1,si
56,casado (a),primaria,no,306,si,212,1,no
25,soltero (a),secundaria,no,-350,no,95,3,no
37,casado (a),superior,no,4089,no,289,2,si
47,casado (a),secundaria,no,480,no,211,2,no
51,casado (a),primaria,no,5050,si,75,7,no
28,soltero (a),superior,no,0,no,205,6,no
42,casado (a),superior,no,1205,no,376,2,si
33,casado (a),secundaria,no,0,no,44,8,no
39,divorciado (a),secundaria,no,83,no,69,6,no
61,casado (a),superior,no,6016,no,670,3,si
50,divorciado (a),superior,no,13,no,76,1,si
29,soltero (a),secundaria,no,482,si,1097,3,si
36,casado (a),secundaria,no,480,no,213,1,si
36,soltero (a),superior,no,40,no,359,3,no
37,divorciado (a),secundaria,no,490,no,73,1,no
32,soltero (a),superior,no,5514,no,319,1,si
35,casado (a),primaria,no,0,no,340,3,no
31,casado (a),secundaria,no,92,no,688,1,si
26,soltero (a),superior,no,1216,no,472,2,no
41,casado (a),secundaria,no,1602,no,142,1,no
40,casado (a),primaria,no,33,no,70,3,no
36,casado (a),superior,no,-381,no,30,29,no
35,soltero (a),superior,no,0,no,669,6,no
31,casado (a),secundaria,no,0,si,71,1,no
53,casado (a),primaria,no,732,no,759,2,si
45,divorciado (a),secundaria,no,59,no,873,8,si
30,soltero (a),superior,no,3516,no,447,4,no
37,casado (a),secundaria,no,1978,no,404,1,si
47,casado (a),primaria,no,881,no,143,1,no
47,casado (a),superior,no,286,no,557,7,no
56,casado (a),secundaria,no,2190,si,90,2,no
53,casado (a),primaria,no,980,no,352,1,si
40,casado (a),superior,no,0,no,147,1,si
33,divorciado (a),primaria,no,636,no,211,11,no
31,casado (a),secundaria,no,79,si,235,11,no
30,soltero (a),secundaria,no,334,no,389,2,no
30,soltero (a),superior,no,901,si,601,1,no
51,casado (a),primaria,no,40,no,79,1,no
27,soltero (a),secundaria,no,3792,no,279,2,si
36,casado (a),secundaria,no,1049,no,224,4,si
34,soltero (a),secundaria,no,16,no,990,1,si
37,casado (a),secundaria,no,176,no,147,2,no
34,soltero (a),secundaria,no,1076,no,70,2,no
54,casado (a),secundaria,no,865,no,71,1,no
31,casado (a),secundaria,no,1766,si,166,2,si
41,casado (a),secundaria,no,429,no,244,1,no
55,casado (a),secundaria,no,602,no,324,3,si
35,divorciado (a),secundaria,no,221,no,150,1,no
61,casado (a),secundaria,no,2917,no,215,1,si
49,casado (a),secundaria,no,4667,no,130,2,no
37,soltero (a),primaria,no,6969,no,412,1,no
49,casado (a),secundaria,no,1916,si,281,3,no
58,soltero (a),secundaria,no,2223,no,1139,2,no
31,casado (a),secundaria,no,5,si,101,7,no
45,soltero (a),secundaria,no,0,no,1472,1,si
42,divorciado (a),secundaria,no,47,si,141,1,no
45,divorciado (a),secundaria,no,0,no,264,1,si
49,casado (a),secundaria,no,1623,no,1081,2,si
55,casado (a),secundaria,si,-308,no,781,1,si
33,casado (a),secundaria,no,1844,no,241,3,no
51,soltero (a),superior,si,-55,no,119,6,no
41,casado (a),primaria,no,-306,no,500,1,si
36,casado (a),secundaria,no,300,no,287,1,no
47,casado (a),secundaria,no,1233,no,91,1,si
57,casado (a),secundaria,no,0,no,197,2,no
42,casado (a),secundaria,no,994,no,149,1,si
34,soltero (a),superior,no,318,no,133,2,no
37,casado (a),superior,no,0,no,268,2,si
42,casado (a),superior,no,1932,no,192,32,no
30,soltero (a),secundaria,no,180,no,203,1,no
43,casado (a),superior,no,1574,no,167,3,no
42,casado (a),primaria,no,-97,no,216,4,no
34,casado (a),superior,no,8,no,169,4,no
46,casado (a),primaria,no,-35,no,304,3,no
32,soltero (a),superior,no,1625,no,796,1,si
33,casado (a),superior,no,1465,no,98,4,no
27,casado (a),secundaria,no,872,no,1130,3,no
25,soltero (a),superior,no,2506,no,485,1,si
38,casado (a),superior,no,1199,no,178,1,si
46,soltero (a),secundaria,no,1790,no,214,5,no
39,casado (a),superior,no,763,no,877,7,si
31,casado (a),secundaria,no,660,no,115,1,no
79,casado (a),primaria,no,429,no,1006,2,si
66,soltero (a),secundaria,no,10177,no,272,4,no
26,soltero (a),superior,no,170,no,129,1,si
57,casado (a),secundaria,no,0,no,97,1,no
38,casado (a),primaria,no,1147,si,249,5,no
33,casado (a),superior,no,1064,no,562,1,si
45,casado (a),secundaria,no,784,si,34,1,no
47,casado (a),superior,no,2306,no,239,4,si
28,soltero (a),secundaria,no,16,no,119,4,no
33,casado (a),primaria,no,212,no,260,2,no
35,casado (a),secundaria,no,5304,no,340,1,no
32,soltero (a),superior,no,2343,no,226,1,no
24,casado (a),secundaria,no,4500,no,733,2,si
58,casado (a),superior,no,1831,no,1531,1,no
53,divorciado (a),secundaria,no,0,no,80,2,si
40,casado (a),secundaria,no,-839,si,1018,2,si
34,casado (a),superior,no,297,no,63,4,no
30,soltero (a),secundaria,no,315,no,1407,1,si
26,soltero (a),secundaria,no,203,no,104,1,no
38,casado (a),superior,no,3234,no,578,2,si
37,casado (a),secundaria,no,64,no,239,4,no
32,casado (a),secundaria,no,889,no,185,1,si
37,divorciado (a),superior,no,66,no,1164,2,si
40,divorciado (a),secundaria,no,6,no,140,1,no
26,soltero (a),secundaria,no,1064,no,113,1,no
36,casado (a),superior,no,925,no,321,3,si
38,casado (a),secundaria,no,-762,si,408,2,no
56,casado (a),secundaria,no,205,si,442,2,no
52,soltero (a),superior,no,83,no,1223,6,si
35,soltero (a),superior,no,5958,no,215,1,si
30,soltero (a),superior,no,-477,si,1532,2,si
42,casado (a),superior,no,2187,no,525,3,si
29,soltero (a),superior,no,19,no,110,2,si
