Estrelas,ProximidadeTurismo,Capacidade,Preco
5,9.301565025243212,3,506.27545244291997
1,1.7858909208732916,1,246.3634575712061
4,15.50429345083481,3,325.8735503361168
4,4.173188210318354,3,521.3432839941105
4,9.443684908242938,1,252.587086799813
2,2.3810314783231212,1,308.33710338990113
4,14.059629162678993,3,393.9866944785895
3,5.900576458695397,1,358.44572821452664
5,1.1048940506592784,1,526.4607466192664
1,16.606998118692633,4,188.36891014879137
1,1.1514787314009216,2,419.1519891446485
5,3.7914756287992275,3,648.615320754412
3,17.423561978092305,3,255.26112061877612
2,13.032427541123157,4,329.1704273765824
1,6.051200840821666,3,404.4189619519237
2,8.95555985551324,3,382.02973162356824
2,1.3190863977996705,3,357.77544246405023
1,4.047618120404975,1,281.2702392624526
2,2.238435633129107,3,399.5441537943425
5,3.2962298212773806,3,657.2534824040215
4,12.85984007080293,2,295.0995786626996
1,15.06998398214272,4,328.2809043946055
4,6.764607323616232,4,579.7997929673787
1,3.8200895557782024,1,209.26749588163034
3,2.2425893425164034,3,537.7805299205298
4,3.0224973045507,3,632.5403686556747
1,3.7514711666128386,3,416.2829075608226
2,12.261961917830192,3,289.0440036497773
4,1.8333919925760125,1,480.5098359238966
4,16.709430327888573,2,236.3293617737192
4,0.5613302044875711,4,708.477025618587
1,0.01385042735095726,2,478.02599487314745
2,6.872990371566635,3,480.29589417162066
2,1.1747454641811148,2,467.17140203281275
2,4.661664260340308,2,352.4687572189352
1,3.7024244070434293,4,570.7970615351728
3,4.5380404105200105,2,478.39516965618515
5,4.032645401632468,2,565.2919502437653
4,9.180047698190455,2,315.59521699889785
4,2.5249662707687244,1,436.53426975002355
3,8.203217972614217,1,228.752031812672
5,13.599485416794844,1,250.05967908638516
3,0.9038200727694681,2,503.9264450094466
1,13.675972398067135,1,61.488522443188494
1,10.34409886481518,2,179.35926741223398
5,9.962126403710661,2,474.4051593717823
1,12.17938511593151,1,1.6057343397926473
5,3.0496363785442044,3,665.5164489855966
2,10.289354925948542,2,161.33873790130224
5,0.722870075600049,2,614.6725053241722
2,6.006575576577885,4,455.5232721542485
3,15.522431800485608,1,163.46655187691437
3,2.869044880033464,4,616.9417285997104
1,23.205942757907415,2,-41.73353623480712
2,3.1716062629268875,4,505.65390846311965
2,5.200406145708678,2,323.26337033594723
2,2.256086544711038,4,585.239138776327
2,4.4971210023199255,2,399.23607629906667
4,0.6727560892298173,1,612.9996903035967
4,13.183958696447341,4,467.4637422262275
3,3.7070400322045343,4,644.6610756243557
4,9.456157955562913,3,373.0301442632787
1,9.327409107943778,3,236.95722477442132
4,12.630683491022754,1,209.61159144912233
5,4.5248909263964645,2,459.63079669014246
2,0.978961454126271,3,594.7407335907938
3,4.481653626807081,1,319.8559928248419
5,6.493379277303881,1,469.2415088735793
4,0.2342310502145217,2,629.6545026999911
5,10.79194728112489,2,396.30004037168055
5,20.04215715498915,4,394.2468445905989
5,3.7687652085089276,4,691.8197221627763
4,5.4571197401778235,1,397.7794552141704
5,18.845858449794477,1,177.24992359313904
5,19.45703083163959,1,134.6769020726067
5,9.127834941352917,4,612.6918002460837
1,2.1950955579304527,3,532.2829026247541
5,3.930629339800916,2,567.0382246895285
4,9.389815726777853,1,308.49366614647425
3,10.170209914132446,4,472.8342777695117
1,14.22983496516106,4,234.76964450834924
2,3.960865849565602,2,329.4178391549149
2,5.9140266780811075,3,437.8872930123907
4,11.244191845103682,1,186.64660689556848
1,7.5539569566333835,2,220.60448091915313
1,8.67407411354918,4,460.594084747223
2,6.564636749715315,3,504.41874985883436
3,28.345545052747024,1,-220.2087048948264
5,21.167910214836752,4,427.97427381834405
3,16.108784034499337,4,337.2524047677354
1,0.3576807186022113,2,402.09613127638755
4,23.807453512197505,4,238.18034822391323
3,3.30576756274374,1,417.91185509639956
3,9.492464735582356,4,399.766876336194
1,15.023965693817127,2,132.32886669141413
2,17.776669547337065,2,57.22309918385816
1,5.327027919795545,3,411.9988680731678
3,10.907497344345,3,448.9898700277526
3,3.4624944764730996,4,600.7292441499069
4,7.9463632107149875,4,579.7804900842405
3,1.9796728994496746,4,650.8841309228911
4,10.819352184772653,3,383.6332813210225
3,14.449401990733717,3,376.59392767954154
2,12.105429941233517,4,463.2148135383791
3,7.886692545093662,3,467.35531770397824
4,10.946383747120914,2,344.736596657964
4,2.348215259487319,3,569.9410040425394
4,21.321534105704437,2,102.24480672845685
3,9.364457258311159,4,568.2526839611096
4,0.35095176869670386,2,623.7017167625172
5,12.65077838088766,1,273.80135794276936
2,2.11497012731878,4,498.7040709700682
3,7.04921352507445,2,227.41513600306166
4,6.7997484424510235,2,369.83369813776557
2,6.963266538610828,3,394.20364942802746
3,2.903971008038668,2,521.9550315613767
2,13.27782695957983,3,241.8606503555144
5,1.0128148621739936,2,614.9844755735453
3,8.031413873416284,2,414.53077061409596
4,4.643376914354916,3,553.559277555704
1,10.21790585588673,1,118.51948944282333
4,5.525406734167292,2,384.0536896047238
3,3.8687084685064654,2,372.502065219649
4,5.102927396336286,4,638.7464337940654
1,1.8392549434030994,3,443.1695244718917
1,3.8548976037560827,3,419.0286138075434
1,16.01836048972537,1,7.26890442068024
4,8.871809418450402,4,575.7710140989245
3,9.327890415064383,1,204.2078211272401
4,12.43319384455155,1,214.55709092981064
1,8.126740421090425,2,342.2743030098487
5,5.872593793998259,2,452.55881720074626
1,5.0535831726441,3,374.8495650071129
1,8.157915419939712,4,377.3723565022773
3,5.07517601657357,3,510.7355477888911
4,10.51880102551674,4,560.7435956117687
3,24.972003915870072,3,65.64934075329306
4,22.45321648371402,1,9.364953270485366
1,5.640085350738091,1,203.2492127200867
1,12.845522979925272,1,99.58122957524245
1,1.0434349149469264,2,352.16153657555174
4,9.880019424937345,4,503.6016132026901
1,11.776289624826308,4,215.86451392782308
3,11.401963009349616,2,212.87348933825837
3,17.549861537420586,4,313.3805814506239
1,1.3298842230959198,3,508.2955241982377
5,7.657021944780863,1,391.61335026947586
4,5.55786964082873,2,393.9041843500604
5,0.10349314566299353,1,457.9173266803431
1,7.200337593416528,4,434.7272527765779
5,18.2425665593783,2,162.5084866997918
4,3.036039044620014,4,712.5755600434442
4,7.726948371023817,1,328.65584216203257
5,16.615982911145636,4,357.3143338153844
2,4.481952844233125,2,322.063250173244
4,16.961815728281607,4,344.5481194728117
1,0.14857703354702717,2,368.3688338178875
1,8.214059370248112,2,171.22216218396318
1,6.705704503109099,2,232.1527838383758
2,7.075056975105769,3,364.2787826908633
1,0.39766734586495167,4,526.482365302179
5,15.669947108616025,4,512.9988890743485
2,4.513030371025261,1,294.98078272085553
4,2.6568797496623593,2,457.1995441348752
2,7.231004937377982,2,298.6488209547343
1,0.24612125247911618,1,281.09972008484846
1,7.199837301431654,4,411.00292102077907
5,11.029062129553697,4,593.1942150659952
4,1.016972745548716,4,712.2740841196319
4,0.19279384513077216,2,670.4241821737878
2,18.495912466796366,2,108.87812195244668
1,2.141666562000842,1,241.4869432611278
1,4.9901663799418285,3,430.6837089418858
2,0.21351223843548608,3,589.7263160884171
3,9.191134448699437,2,380.88566059820846
1,1.9275384906521618,4,476.73718253520224
4,3.6505521654625768,4,639.6070859650065
2,17.913275480411837,3,238.32508823318588
2,0.5858655113386084,4,524.0462418295308
5,3.1754309393019926,3,601.5205431628582
1,16.324233020679834,2,12.168455315053734
1,0.6713415461452177,2,349.944657582245
4,14.893559620744803,4,371.5059499479136
3,5.213037482757137,4,628.2677419720291
4,6.119271927311578,3,505.88765970833083
3,13.414967255830426,4,358.5328758163024
5,4.768983689222225,2,462.84003964633075
4,1.4844958138007809,4,697.3934419675609
4,5.2904523833443164,4,613.6341709660803
1,4.226286217088257,4,552.6779943919063
4,13.597807255038138,2,313.0446896921024
1,0.4140081155796743,4,490.1299487851546
5,7.578708604251661,3,506.9767925354034
3,0.5008409428482209,1,473.4868067465845
4,8.974009269018305,3,429.465679734565
5,13.124703671409963,3,514.2345353179862
1,8.589723884443423,3,263.29105074489416
3,8.989421564655359,2,358.8422363589323
4,0.7458640654355353,3,582.0219410213572
4,10.770990694039948,4,479.10042947188316
2,4.246633024328657,2,429.9964219249842
4,8.299645975379619,1,307.65372235048176
5,14.111720638896116,3,448.43819947778303
4,7.858038268311725,1,346.50376437950547
4,0.5746951846539464,4,746.1993804850362
2,3.9121705217401628,4,497.347179010921
2,9.409176145751134,3,340.7377571747773
2,4.052040803228881,4,560.1718148404659
4,4.980524046828567,4,577.9358754287457
3,0.2619223734425048,4,746.2365546927663
3,16.88230027771432,2,133.49259233795686
5,1.1246598255955271,1,492.50662464119966
4,5.324899192090678,3,483.17406291847465
2,6.450552734598769,1,143.82354204609018
3,10.118424329941892,2,397.47743952990857
4,6.579510447611686,4,578.1928442026139
2,4.683852342770517,4,503.9272112238126
5,17.358789976857132,2,252.8884473793174
3,6.67712720570559,4,607.45065449571
3,16.819217400731375,3,205.36032158215164
1,8.52585847170647,3,353.4612238541247
2,0.22959755607951443,1,354.2186364509359
1,0.1114561184184125,2,377.93733485471625
5,0.11498899870062375,2,636.0531306519966
1,8.376780419079452,3,371.8764203055458
4,5.911831037644298,4,576.0682317331183
3,6.677202863593994,2,338.01348474437964
1,3.2696259540445736,2,286.15269355300717
1,3.3003511451031162,4,559.1681654343564
2,22.259443317382587,2,-13.951666087957655
2,13.709890062911214,4,253.34566237800317
1,5.098432421384791,1,298.5289584921115
4,3.2486961579618607,1,346.5331017431157
1,9.971179807917595,4,409.5494304046012
4,0.3060182433851781,1,483.0510674656727
1,0.6964157844693558,4,570.4674559213769
5,0.5157494276988904,4,730.466247680456
5,8.672766288084278,2,454.82424724954626
1,8.483205228052325,4,316.9469007947416
2,3.256694688201742,4,584.2679936729558
4,4.704331448464819,4,703.7638731073116
5,3.114470715541555,4,751.9119455604853
4,2.3958275985639133,4,571.1064437593857
3,3.698011663038032,3,466.8293166255969
2,9.72535789142537,3,336.1030960727523
2,21.338682472045374,3,137.57321580608914
3,4.064154936762062,1,343.3842675817475
2,1.931767015498399,2,396.70394033450714
5,7.5574028889454254,1,408.6169576057061
3,5.391326367529899,1,380.3810609606503
5,7.496903447028966,3,528.4472307000908
5,0.32808747613711803,3,719.8847438465195
3,25.827966329699446,2,-135.51186385346267
4,11.539503636520095,4,442.33445796416163
4,3.4796185592084585,1,394.34468196293034
2,13.533888581477134,2,164.89391733272603
3,10.326431018921296,4,480.11129049179686
5,4.367483374580074,1,493.3378598833116
4,16.42965293530609,2,256.7403925952976
4,4.06071796259832,1,367.67436716028084
2,5.352701645328445,2,276.80756256822184
2,0.2540520838501602,1,402.7671643519411
2,11.541840304940191,4,297.25435691769553
2,1.7250441649286592,1,378.15098087174823
3,0.21062021342063625,3,576.3651416250839
1,0.9945445703071175,1,251.3173591969462
4,2.2739277512112848,4,688.884310599114
2,10.167386486097689,3,336.5084651450962
5,1.1477532477079817,4,745.215070400028
4,3.0875124183661313,4,654.0385868063076
2,13.707599825430606,2,206.82420891269496
2,8.656529228158533,4,493.0911165347548
3,10.813760344581897,4,478.55555303255466
1,6.313759884493888,4,494.3314618012377
1,2.4133779145310457,3,439.5254557669888
3,8.781903428100732,1,335.2848976495841
5,6.993804835878171,3,578.6793943889277
1,10.612222874459093,4,330.5708410266793
5,2.224770102429203,4,670.8098451146957
4,8.589199078076716,4,558.5058586251696
4,0.509542770112895,3,564.483068451612
1,17.94229271489721,4,162.4853473242184
1,13.264616423656934,2,156.6620255455413
4,9.64606424206264,3,416.6843428446495
4,0.5989468311627605,2,501.35525136539866
1,2.125230447703092,2,365.77163874151825
4,7.621145119224981,3,491.2109925706899
1,8.877801366359353,4,382.1522714118761
3,9.363985435524596,1,223.84294533654366
2,5.256405931019397,4,557.6040178152346
1,2.711701846373109,2,372.8873306368792
5,8.014968853943747,3,518.5293173113903
1,6.471814318477607,2,403.7798103062161
4,4.722471500878488,3,555.242156828851
5,9.304084961111164,4,640.5185574616432
5,1.7531640232701995,4,706.8876693780082
2,14.21919871640437,3,187.46897831151213
1,19.979560797500046,4,130.8209582678259
3,8.565493082342094,4,485.2896491832525
5,15.415873996717874,1,196.85210957916667
5,25.94424587768152,3,237.93439156250923
3,4.040322938509371,2,423.1914851250072
5,14.617326882614082,4,500.72690621977534
4,6.834397667886818,2,420.9879888406191
3,3.67544896022269,1,334.81330415888783
4,1.903115575939397,4,683.8374891538878
1,8.517291972535899,2,325.35673403781857
1,18.227236001279593,1,-72.94214961243262
1,5.215796779933731,3,424.03358692930294
4,11.84686590411552,3,351.7623193364005
5,9.606933984606597,3,474.8799981943961
5,13.290628465396823,1,264.36659098979277
3,8.174930976162265,4,522.8201349631042
3,14.013472930393105,2,303.8869727908286
5,10.304382674156047,2,401.40821444365235
2,20.473236130579618,3,88.3544970616113
4,12.266216593966154,2,347.1777667732154
4,9.67446150050235,1,268.30227954416523
4,0.5535254802238957,4,720.8635689421138
2,2.6393734859268787,4,561.4014083045748
3,3.5281660649437834,1,262.2638361367832
3,1.5277442354540869,4,664.8600745706169
4,12.986867221630902,1,249.4310559084469
3,12.760753460061876,1,221.11516921419275
4,13.250140528868153,2,385.02032754564834
5,2.0533256377795968,1,429.1782985712343
5,0.45134015432010277,2,626.7985691276859
3,23.39624806020058,4,222.53978862803618
2,2.764328450158372,3,463.75933135644146
3,2.5957698183403943,4,637.939915455681
1,3.644812492405056,2,362.0860979074972
4,14.713219561423383,1,124.80141727267248
1,15.927707544174837,4,263.75698718032487
3,2.5857263167677127,2,412.38625836441497
5,3.0833124595934525,4,675.7409258116014
4,13.780834670640772,3,275.64606582775207
3,3.1197610791621293,3,503.9367321416335
2,8.402903954793064,4,441.76338733046487
3,10.068317522989839,3,416.12649290502276
2,16.815767162673275,2,123.72965308008986
5,7.922866618061449,1,294.4282600987871
2,5.316059080114549,1,316.7862212419224
1,3.658487879168582,4,490.9009112391238
1,12.978252669735856,4,334.85347612676577
1,4.8111512638883545,2,362.073780645218
1,27.593551140215823,1,-150.74078535586472
1,0.7466797825114957,1,413.1277538180209
2,2.5871644022974607,2,404.64477402046737
1,2.7560067398405637,3,450.43608750787143
4,14.350493867891545,1,139.0720681013301
2,5.072389511096152,4,571.63221827984
5,1.162297003871491,3,607.5096876939816
2,9.474885949068796,1,100.23969658710305
3,2.444434559616326,3,582.6306090746931
5,14.013448312919596,3,383.6462074942173
1,4.1038179365787055,1,286.8040053355379
1,5.289436184165822,1,244.61500878399198
3,2.4614778868484417,2,379.2703097118457
1,8.635196583813146,4,261.31210010760634
5,8.047537406378693,1,314.21916451779015
5,23.466470305265617,1,61.495168243730895
5,12.791611070282583,4,453.0789618596097
2,3.655510899860373,2,354.2517095353569
2,9.380925409056456,3,279.43445528900463
5,2.9673317249411335,4,719.1472634910236
2,8.299861590811032,2,298.5440645355956
2,4.961023339825624,3,416.70990200110583
4,0.7480498268034107,4,774.8922685296188
2,0.12231983638817387,2,532.4393546382147
4,15.692596145359044,1,194.41143721964167
4,6.90429024383049,1,251.92563605005296
2,7.966721083646714,3,325.4310709667852
2,6.579260925367953,1,268.77129804680334
2,9.688826385630508,3,314.7955932751604
1,2.2558166356880354,2,340.5290957006481
4,13.891453156779274,1,247.1193065938175
1,20.14060154918468,3,112.73171011092728
5,3.0676577602700457,4,774.3545664852965
2,4.063031304450625,2,357.2789090786637
5,8.640449911023696,1,425.952272801871
1,1.4357951171632055,1,273.5775353025116
4,3.820254489503836,3,638.5694847168613
3,3.5950439957101015,4,603.3908522666369
2,1.4456681693373594,1,308.06114925777246
5,3.615992807816198,3,536.1191684609994
5,10.645851361278517,1,302.009357031345
5,9.378802311514518,2,409.6123188699377
1,4.331079531513437,1,286.26150487585386
1,4.0594172718848345,3,403.28212942189293
3,7.2436850486996445,3,423.5047000970849
1,13.852615467222304,3,266.7995643029307
4,3.030982534240727,4,648.1390212516778
4,4.410329072731514,4,602.9813277340246
5,1.7879286573317985,2,602.9718727179927
2,7.994223995430966,1,195.62410914901736
5,2.4078750974193843,4,754.782605136188
4,2.8912050527881217,1,392.33004335507786
4,4.128708204461747,1,386.2778767622461
4,1.9839889682004574,3,607.9290694154041
5,0.9419230031014657,3,652.4552239247554
3,11.476109448431353,1,199.80523756350345
2,3.581140754798567,3,509.1507833660317
3,5.559626797097979,1,339.3375536240428
3,8.924738873315302,1,275.5537150354251
2,4.223148241252707,3,423.76551324398247
4,1.0471402943328432,4,741.6986825270616
4,2.280533251240672,1,467.8674520006407
5,2.0147994670443286,4,779.9249702721947
5,5.407735853003902,4,625.5269913306169
3,18.180776303835696,3,217.7615440892132
2,0.4932407014757259,4,641.8118810935056
2,2.390336012467649,4,541.7525238797904
1,10.003303489537053,4,358.6278067210612
1,16.7398570701071,4,331.49314547083435
3,1.6155926723816796,1,495.2761971657571
5,15.634047450289295,3,439.31607848558207
4,7.905230218330772,3,528.824652445873
4,9.07300121525327,3,407.5774182196781
3,2.242522209656819,1,410.7776673781698
2,16.786883628286567,1,26.306497680974395
1,2.1496559062609353,2,314.0782869945129
5,0.9721923200291803,1,485.1058616698504
2,10.156652815421012,1,182.6501973938971
5,7.010413411650971,4,602.4239530520472
5,4.17477349885034,1,418.9645587376512
3,10.974966547702447,2,330.10274396709974
1,17.123052213432967,2,74.74427998750224
1,7.9211502056515,4,423.24989987008587
4,10.455245570694657,1,276.48870843092175
2,10.848560594614451,1,129.24363093912842
2,11.173053155366645,3,248.01034099463268
1,5.189002044248521,1,241.7481946360535
5,7.537044661806008,4,593.9072751576076
4,1.3768982590334733,3,511.9229213900366
4,2.0694471055729102,1,418.98269499028413
5,6.780954607862469,3,499.77001077571947
4,7.539914669784796,2,444.13421831969185
5,10.653154920979947,4,583.0181629424181
4,9.853175089398668,2,387.78115545395013
1,7.66919669661199,1,143.36398515982563
4,4.026255311300352,2,516.0524728671006
4,17.758879999618287,2,220.8048891643379
2,16.692508063769687,3,185.6571118026153
4,3.0198921035755295,4,636.9352863215636
5,6.081564276006414,4,693.0041221235566
1,11.149623229474022,2,163.32733256233664
4,14.333525028819917,1,208.51232309991556
1,4.183980113091925,1,298.01824707880064
1,4.355461592956536,2,418.35789941872474
4,5.9922427745971945,1,443.3488007299426
2,0.330897511387602,2,498.42318798269946
3,8.541612608143545,4,423.87218025855975
4,7.199405321418947,1,301.5594721007225
3,8.935744023141913,3,383.88076016353494
4,1.5602389099728735,2,611.4527134288086
1,10.490931879200103,1,85.21546536739339
4,31.709747732901796,3,25.113364196882504
3,1.8949963754791346,4,637.1434256532829
1,13.4841308775612,2,93.56102197689881
4,12.64983329856256,1,246.09453450971796
2,3.007838764760271,4,579.7580290146692
5,6.60608593976992,2,415.0895371175265
4,2.098494779230553,3,659.1739767680594
2,12.406245995562275,2,107.54957864599513
3,2.2246316400860677,4,595.9695095527806
2,0.8837552319915497,3,570.9234100534477
5,0.9837790681547566,3,610.6615269632028
2,3.8141625420917085,4,561.2300451362673
4,0.6749225724080681,1,401.6835291380672
2,0.16338084112892493,3,532.0811759552104
4,2.8431451899794453,3,467.44844054180106
3,4.1540062617112685,1,304.79128968012424
5,10.314824603152577,3,406.557435579234
2,14.299912586854484,1,73.9135611565853
5,0.6163805217221475,4,736.9108197744742
2,14.327354899341081,4,299.76969344772135
5,0.8753147092167086,1,552.3893656440032
2,9.3874687568231,3,307.9066446699661
3,6.071116719160459,2,420.29699927624335
3,10.481704068254732,3,461.82970713284845
4,8.602624519575189,2,394.9007171237304
2,3.2830129500075538,3,431.45623077107894
3,4.0129780513351,4,527.2735132302209
3,3.166552950521069,1,331.1796859836037
5,5.969064812479539,3,605.8508397879037
3,9.872866934576525,1,240.3221980569144
3,4.012347099111825,2,476.592818830463
4,8.000824760846012,3,518.5000487494403
1,10.431294980353556,2,208.41463298684067
5,8.570781886711647,3,542.2587753490902
3,6.774621693464117,1,387.26987660174166
1,0.5182038948242156,1,390.4187334122497
1,8.79160628835075,3,299.03057338777234
3,2.3110160759299654,2,513.2636505781952
4,16.38807307122178,3,341.5310788664612
2,7.333128075836656,3,450.15684236025385
4,21.49574534867287,3,243.66592162833808
3,0.902438496657506,2,443.24285831470036
5,7.316589270303925,4,542.6839863252865
